basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
tv-BFT-20210513T075249-60,0.932561650729743,0.932561650729743,0.915989646991156,0.934359048098353,0.914300093464663,0.934359048098353,0.932561650729743,MEDIUM,EASY
tv-BFT-20210519T183240-60,0.948400229244481,0.942431967747673,0.942431967747673,0.959486966660738,0.978379873915535,0.978379873915535,0.948400229244481,EASY,EASY
tv-BFT-20210911T050719-60,0.991624880933125,0.977636769648281,0.969554824679642,0.962150212972449,0.962311964199062,0.991624880933125,0.969554824679642,EASY,EASY
tv-BFT-20211121T161228-60,0.964903090623362,0.959664745940282,0.959664745940282,0.976640862968783,0.989678520846671,0.989678520846671,0.964903090623362,EASY,EASY
tv-BFT-20211221T020755-60,0.947331286588737,0.946132320131194,0.929349173356724,0.965294330771724,0.953128277492801,0.965294330771724,0.947331286588737,EASY,EASY
tv-BFT-20220327T162139-60,0.901353606526979,0.909587016090816,0.829717537041173,0.900117436182706,0.890866761439726,0.909587016090816,0.900117436182706,HARD,EASY
tv-BFT-20220602T050937-60,0.984315597757855,0.984219449012431,0.983625981868122,0.989797181405054,0.994217813378601,0.994217813378601,0.984315597757855,EASY,EASY
tv-BFT-20220628T170057-60,0.97331228795878,0.960739490919646,0.960739490919646,0.967307099185399,0.973820279758341,0.973820279758341,0.967307099185399,EASY,EASY
tv-C+_-20210126T165141-60,0.714541277493221,0.783550909536004,0.772182842233376,0.786174299487797,0.632118107863814,0.786174299487797,0.772182842233376,HARD,HARD
tv-C+_-20210406T220437-60,1,0.473864816738389,0.508829286325652,0.3503816919754,0.223590707490396,1,0.473864816738389,EASY,HARD
tv-C+_-20210611T204601-60,0.908297023514055,0.962625016086628,0.891015387308165,0.936885260971081,0.967716434099976,0.967716434099976,0.936885260971081,EASY,EASY
tv-C+_-20210813T175655-60,0.97838014482035,0.985802832768614,0.941091533046834,0.970244749832304,0.839149653428734,0.985802832768614,0.970244749832304,EASY,EASY
tv-C+_-20211118T141814-60,0.928930509428141,0.990149906535272,0.913667545459489,0.93697029092031,0.589807807480808,0.990149906535272,0.928930509428141,EASY,EASY
tv-C+_-20211129T054514-60,0.962249025931656,0.964206483846311,0.957756196089575,0.97177532111631,0.982886225089017,0.982886225089017,0.964206483846311,EASY,EASY
tv-C+_-20220205T203351-60,0.872391563571322,0.923438897376658,0.887054776200098,0.895625279475331,0.657978089133999,0.923438897376658,0.887054776200098,HARD,MEDIUM
tv-C+_-20220329T134103-60,0.745672907099964,0.912254364275223,0.852404829537769,0.861347115581252,0.863596646154418,0.912254364275223,0.861347115581252,HARD,MEDIUM
tv-C+_-20220610T190401-60,0.853666809483005,0.978214929662953,0.95419166991112,0.942730648386175,0.890031419594401,0.978214929662953,0.942730648386175,EASY,EASY
